2000q1,12359.1
2000q2,12592.5
2000q3,12607.7
2000q4,12679.3
2001q1,12643.3
2001q2,12710.3
2001q3,12670.1
2001q4,12705.3
2002q1,12822.3
2002q2,12893.0
2002q3,12955.8
2002q4,12964.0
2003q1,13031.2
2003q2,13152.1
2003q3,13372.4
2003q4,13528.7
2004q1,13606.5
2004q2,13706.2
2004q3,13830.8
2004q4,13950.4
2005q1,14099.1
2005q2,14172.7
2005q3,14291.8
2005q4,14373.4
2006q1,14546.1
2006q2,14589.6
2006q3,14602.6
2006q4,14716.9
2007q1,14726.0
2007q2,14838.7
2007q3,14938.5
2007q4,14991.8
2008q1,14889.5
2008q2,14963.4
2008q3,14891.6
2008q4,14577.0
2009q1,14375.0
2009q2,14355.6
2009q3,14402.5
2009q4,14541.9
2010q1,14604.8
2010q2,14745.9
2010q3,14845.5
2010q4,14939.0
2011q1,14881.3
2011q2,14989.6
2011q3,15021.1
2011q4,15190.3
2012q1,15291.0
2012q2,15362.4
2012q3,15380.8
2012q4,15384.3
2013q1,15491.9
2013q2,15521.6
2013q3,15641.3
2013q4,15793.9
2014q1,15747.0
2014q2,15900.8
2014q3,16094.5
2014q4,16186.7
2015q1,16269.0
2015q2,16374.2
2015q3,16454.9
2015q4,16490.7
2016q1,16525.0
2016q2,16583.1
